Country,State,Year,Additional Info,"Number Of Suicides (UOM:Number), Scaling Factor:1","Percentage Share In Total Suicides (UOM:%(Percentage)), Scaling Factor:1","Projected Mid-Year Population (UOM:Number), Scaling Factor:100000","Rate Of Suicides (UOM:Ratio), Scaling Factor:1","Rank (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022",,171,0.1,4.0,42.8,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",,8908,5.2,530.3,16.8,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",,149,0.1,15.5,9.6,
India,Assam,"Calendar Year (Jan - Dec), 2022",,3320,1.9,354.9,9.4,
India,Bihar,"Calendar Year (Jan - Dec), 2022",,702,0.4,1255.3,0.6,
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",,131,0.1,12.2,10.7,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",,8446,4.9,299.5,28.2,
India,Goa,"Calendar Year (Jan - Dec), 2022",,302,0.2,15.7,19.2,
India,Gujarat,"Calendar Year (Jan - Dec), 2022",,9002,5.3,709.3,12.7,
India,Haryana,"Calendar Year (Jan - Dec), 2022",,3783,2.2,299.7,12.6,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",,644,0.4,74.4,8.7,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022",,323,0.2,135.4,2.4,
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",,2181,1.3,391.4,5.6,
India,Karnataka,"Calendar Year (Jan - Dec), 2022",,13606,8.0,674.1,20.2,
India,Kerala,"Calendar Year (Jan - Dec), 2022",,10162,5.9,356.8,28.5,
India,Ladakh,"Calendar Year (Jan - Dec), 2022",,13,0.0,3.0,4.3,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",,2,0.0,0.7,2.9,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",,15386,9.0,858.9,17.9,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",,22746,13.3,1257.4,18.1,
India,Manipur,"Calendar Year (Jan - Dec), 2022",,26,0.0,32.0,0.8,
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",,213,0.1,33.3,6.4,
