Country,State,Year,Gender,Social Status,"Number Of Suicides (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,52
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Married,84
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,3
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,6
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Married,20
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,4
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,1540
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Married,4653
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,45
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,506
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Married,1457
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Widowed/Widower,42
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Un-Married,1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Married,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Widowed/Widower,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Un-Married,39
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Married,62
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Widowed/Widower,1
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Un-Married,19
