Country,State,Year,Gender,Cause Of Suicide,Number Of Suicides,Percentage Share,Category,Reported_Status
India,Andaman and Nicobar Islands,2022,Female,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Causes Not Known,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Death of Dear Person,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Drug Abuse/Alcoholic Addiction,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Failure in Examination,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Fall in Social Reputation,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Family Problems,3.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Illness (AIDS/STD),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Female,Illness (Cancer),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Female,Illness (Insanity/Mental illness),6.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Female,Illness (Other Prolonged Illness),12.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Female,Illness (Paralysis),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Female,Impotency/Infertility,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Love Affairs,1.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Marriage Related Issues (Divorce),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Female,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Female,Marriage Related Issues (Extra Marital affairs),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Female,Marriage Related Issues (Non-Settlement of Marriage),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Female,Marriage Related Issues (Others),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Female,Other Causes,8.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Poverty,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Professional/Career Problem,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Property Dispute,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs),1.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Female,Unemployment,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Bankruptcy or Indebtedness,2.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Causes Not Known,4.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Death of Dear Person,3.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Drug Abuse/Alcoholic Addiction,13.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Failure in Examination,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Fall in Social Reputation,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Family Problems,22.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Illness (AIDS/STD),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Male,Illness (Cancer),6.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Male,Illness (Insanity/Mental illness),16.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Male,Illness (Other Prolonged Illness),42.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Male,Illness (Paralysis),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Male,Impotency/Infertility,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Love Affairs,7.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Marriage Related Issues (Divorce),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Male,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Male,Marriage Related Issues (Extra Marital affairs),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Male,Marriage Related Issues (Non-Settlement of Marriage),1.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Male,Marriage Related Issues (Others),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Male,Other Causes,23.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Poverty,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Professional/Career Problem,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Property Dispute,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Male,Unemployment,1.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Bankruptcy or Indebtedness,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Causes Not Known,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Death of Dear Person,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Drug Abuse/Alcoholic Addiction,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Failure in Examination,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Fall in Social Reputation,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Family Problems,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Ideological Causes/Hero Worshipping,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Illness (AIDS/STD),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Illness (Cancer),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Illness (Insanity/Mental illness),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Illness (Other Prolonged Illness),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Illness (Paralysis),0.0,,Illness,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Impotency/Infertility,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Love Affairs,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Marriage Related Issues (Divorce),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Marriage Related Issues (Dowry Related Issues),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Marriage Related Issues (Extra Marital affairs),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Marriage Related Issues (Non-Settlement of Marriage),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Marriage Related Issues (Others),0.0,,Marriage,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Other Causes,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,"Physical Abuse (Rape, etc.)",0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Poverty,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Professional/Career Problem,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Property Dispute,0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Suspected/ Illicit Relation (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andaman and Nicobar Islands,2022,Transgender,Unemployment,0.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Bankruptcy or Indebtedness,97.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Causes Not Known,97.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Death of Dear Person,31.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Drug Abuse/Alcoholic Addiction,5.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Failure in Examination,43.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Fall in Social Reputation,5.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Family Problems,651.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Ideological Causes/Hero Worshipping,1.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Illegitimate Pregnancy (Other than Extra Marital Affairs),0.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Illness (AIDS/STD),6.0,,Illness,Reported
India,Andhra Pradesh,2022,Female,Illness (Cancer),10.0,,Illness,Reported
India,Andhra Pradesh,2022,Female,Illness (Insanity/Mental illness),276.0,,Illness,Reported
India,Andhra Pradesh,2022,Female,Illness (Other Prolonged Illness),422.0,,Illness,Reported
India,Andhra Pradesh,2022,Female,Illness (Paralysis),8.0,,Illness,Reported
India,Andhra Pradesh,2022,Female,Impotency/Infertility,13.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Love Affairs,56.0,,Various,Reported
India,Andhra Pradesh,2022,Female,Marriage Related Issues (Divorce),1.0,,Marriage,Reported
